Number,Size,Style
3,AS,Primegreen
5,AS,Primegreen
6,AS,Primegreen
7,AS,Primegreen
10,AS,Primegreen
12,AS,Primegreen
13,AS,Primegreen
15,AS,Primegreen
8,AM,Primegreen
11,AM,Primegreen
14,AM,Primegreen
16,AM,Primegreen
17,AM,Primegreen
2,AL,Primegreen
4,AL,Primegreen
46,AL,Primegreen
24,AL,Primegreen
25,AXL,Primegreen
