Number,Size,Style
16,YM,Climalite
45,YM,Climalite
46,YM,Climalite
49,YM,Climalite
36,YL,Climalite
37,YL,Climalite
2,AS,Climalite
3,AS,Climalite
4,AS,Climalite
5,AS,Climalite
6,AS,Climalite
7,AS,Climalite
8,AS,Climalite
9,AS,Climalite
10,AS,Climalite
11,AS,Climalite
12,AS,Climalite
13,AS,Climalite
