Number,Size,Style
2,AS,Primegreen
4,AS,Primegreen
43,AS,Primegreen
44,AS,Primegreen
46,AS,Primegreen
47,AS,Primegreen
48,AS,Primegreen
49,AS,Primegreen
9,AM,Primegreen
22,AM,Primegreen
27,AM,Primegreen
28,AM,Primegreen
31,AM,Primegreen
32,AM,Primegreen
33,AM,Primegreen
12,AL,Primegreen
16,AL,Primegreen
17,AL,Primegreen
