Number,Size,Style
8,YM,Climalite
17,YM,Climalite
19,YM,Climalite
20,YM,Climalite
34,YL,Climalite
35,YL,Climalite
7777,AS,Climalite
80,AS,Climalite
81,AS,Climalite
82,AS,Climalite
83,AS,Climalite
84,AS,Climalite
85,AS,Climalite
86,AS,Climalite
87,AS,Climalite
6666,AS,Climalite
5555,AS,Climalite
10,AS,Climalite
