Number,Size,Style
10,YL,Primegreen
12,YL,Primegreen
13,YL,Primegreen
15,YL,Primegreen
19,YL,Primegreen
20,YL,Primegreen
21,YL,Primegreen
31,AXS,Primegreen
32,AXS,Primegreen
33,AXS,Primegreen
34,AXS,Primegreen
35,AXS,Primegreen
36,AXS,Primegreen
37,AXS,Primegreen
38,AXS,Primegreen
39,AXS,Primegreen
49,AS,Primegreen
50,AS,Primegreen
