Number,Size,Style
8,AS,Primegreen
16,AS,Primegreen
17,AS,Primegreen
19,AS,Primegreen
26,AS,Primegreen
27,AS,Primegreen
29,AS,Primegreen
30,AS,Primegreen
31,AS,Primegreen
35,AM,Primegreen
36,AM,Primegreen
37,AM,Primegreen
41,AM,Primegreen
42,AM,Primegreen
43,AM,Primegreen
25,AL,Primegreen
34,AL,Primegreen
39,AL,Primegreen
