Number,Size,Style
8,AS,Primegreen
9,AS,Primegreen
11,AS,Primegreen
14,AS,Primegreen
32,AS,Primegreen
34,AS,Primegreen
39,AS,Primegreen
40,AS,Primegreen
45,AS,Primegreen
50,AS,Primegreen
44,AM,Primegreen
46,AM,Primegreen
47,AM,Primegreen
48,AM,Primegreen
41,AL,Primegreen
42,AL,Primegreen
43,AL,Primegreen
49,AL,Primegreen
