Number,Size,Style
10,YM,Climalite
11,YM,Climalite
9999,YM,Climalite
32,YL,Climalite
33,YL,Climalite
41,AS,Climalite
8888,AS,Climalite
69,AS,Climalite
70,AS,Climalite
71,AS,Climalite
72,AS,Climalite
73,AS,Climalite
74,AS,Climalite
75,AS,Climalite
76,AS,Climalite
77,AS,Climalite
78,AS,Climalite
11,AS,Climalite
