Number,Size,Style
2,YM,Climalite
7,YM,Climalite
9,YM,Climalite
29,YL,Climalite
30,YL,Climalite
31,YL,Climalite
14,AS,Climalite
16,AS,Climalite
17,AS,Climalite
19,AS,Climalite
23,AS,Climalite
24,AS,Climalite
25,AS,Climalite
26,AS,Climalite
27,AS,Climalite
33,AS,Climalite
39,AS,Climalite
40,AS,Climalite
